# segmented_pinyin<TAB>word<TAB>frequency
a	啊	21810
a	阿	6905
a	呵	121
a	嗄	109
a	锕	67
a	腌	23
a'ba'la'qi'ya	阿巴拉契亚	71
a'ba'si	阿拔斯	95
a'bei'er	阿贝尔	63
a'bing'ma	阿炳妈	111
a'bo'du'la	阿卜杜拉	60
a'bo'luo	阿波罗	243
a'chang'zu	阿昌族	288
a'dong	阿东	62
a'dou	阿斗	61
a'er'ba'ni'ya	阿尔巴尼亚	359
a'er'bei'si	阿尔卑斯	99
a'er'bei'si'shan	阿尔卑斯山	151
a'er'bei'si'shan'mai	阿尔卑斯山脉	91
a'er'fa	阿尔法	69
a'er'ji'er	阿尔及尔	66
a'er'ji'li'ya	阿尔及利亚	430
a'er'ka'te	阿尔卡特	177
a'er'sa'si	阿尔萨斯	57
a'er'tai	阿尔泰	85
a'er'tai'shan	阿尔泰山	193
a'fu'han	阿富汗	816
a'ge	阿哥	2088
a'ge'bu	阿格布	138
a'gen'ting	阿根廷	964
a'gu'bai	阿古柏	74
a'ha	啊哈	90
a'hong	阿訇	90
ai	爱	14878
ai	唉	2420
ai	埃	1678
ai	挨	1655
ai	矮	1310
ai	哎	1282
ai	哀	695
ai	艾	660
ai	癌	622
ai	碍	518
ai	嗳	404
ai	隘	322
ai	乃	245
ai	啀	240
ai	奇	237
ai	呆	219
ai	捱	163
ai	敱	159
ai	瑷	150
ai	壒	142
ai	叆	127
ai	蔼	120
ai	霭	76
ai	嗌	66
ai	噯	61
ai	砹	55
ai	毐	44
ai	譺	31
ai	呃	9
ai	噫	5
ai	儗	3
ai	厓	1
ai'bian	癌变	83
ai'bi'dan	爱庇丹	64
ai'chou	哀愁	56
ai'chun'rong	艾春荣	256
ai'ci	挨次	192
ai'da	挨打	308
ai'dai	爱戴	185
ai'dao	哀悼	168
ai'de'hua	爱德华	140
ai'ding'bao	爱丁堡	87
ai'di'sheng	爱迪生	65
ai'duo	爱多	76
ai'e	挨饿	79
ai'er'lan	爱尔兰	669
ai'fu	爱抚	75
ai'fu'dun	埃弗顿	117
